Admin2,Crop,Area,Admin1
Kakonko,banana_and_plantain _vop,46174156.2910156,Kigoma
Kakonko,bean _vop,14410719.3054199,Kigoma
Kakonko,cassava _vop,9761572.73144531,Kigoma
Kakonko,cereals _vop,12317241.0507813,Kigoma
Kakonko,groundnut _vop,1157454.10058594,Kigoma
Kakonko,pulses _vop,14268038.6101074,Kigoma
Kakonko,rice _vop,7210129.8671875,Kigoma
Kakonko,sorghum _vop,590435.198730469,Kigoma
Kakonko,total _vop,97787970.578125,Kigoma
Kakonko,wheat _vop,0,Kigoma
Kalambo,banana_and_plantain _vop,1605080.65597534,Rukwa
Kalambo,bean _vop,16863912.5524902,Rukwa
Kalambo,cassava _vop,990503.897827148,Rukwa
Kalambo,cereals _vop,22582955.2919922,Rukwa
Kalambo,groundnut _vop,775872.596557617,Rukwa
Kalambo,pulses _vop,16962940.0166016,Rukwa
Kalambo,rice _vop,5335562.77468872,Rukwa
Kalambo,sorghum _vop,2115746.39355469,Rukwa
Kalambo,total _vop,63932389.0488281,Rukwa
Kalambo,wheat _vop,201748.101379395,Rukwa
Kaliua,banana_and_plantain _vop,8092.39990234375,Tabora
Kaliua,bean _vop,6687793.49438477,Tabora
Kaliua,cassava _vop,2862932.28337097,Tabora
Kaliua,cereals _vop,10394492.5116596,Tabora
Kaliua,groundnut _vop,6562653.21014786,Tabora
Kaliua,pulses _vop,6712819.09338379,Tabora
Kaliua,rice _vop,2739052.59899902,Tabora
Kaliua,sorghum _vop,111261.499799728,Tabora
Kaliua,total _vop,82446404.2880859,Tabora
Kaliua,wheat _vop,0,Tabora
Karagwe,banana_and_plantain _vop,111827747.298431,Kagera
Karagwe,bean _vop,10908017.2792969,Kagera
Karagwe,cassava _vop,1107707.19866943,Kagera
Karagwe,cereals _vop,4160603.09320831,Kagera
Karagwe,groundnut _vop,203757.798339844,Kagera
Karagwe,pulses _vop,11372464.5812988,Kagera
Karagwe,rice _vop,8248.49987792969,Kagera
Karagwe,sorghum _vop,405726.702468872,Kagera
Karagwe,total _vop,149679521.259277,Kagera
Karagwe,wheat _vop,0,Kagera
Karatu,banana_and_plantain _vop,28.2000007629395,Arusha
Karatu,bean _vop,10329415.432251,Arusha
Karatu,cassava _vop,20871.100774765,Arusha
Karatu,cereals _vop,19994838.7871208,Arusha
Karatu,groundnut _vop,17096.30078125,Arusha
Karatu,pulses _vop,22328398.9257813,Arusha
Karatu,rice _vop,11154253.7167969,Arusha
Karatu,sorghum _vop,130646.00050354,Arusha
Karatu,total _vop,125851687.320313,Arusha
Karatu,wheat _vop,1462505.09492207,Arusha
Kaskazini 'A',banana_and_plantain _vop,0,Kaskazini Unguja
Kaskazini 'A',bean _vop,19604.7998046875,Kaskazini Unguja
Kaskazini 'A',cassava _vop,1662850.84375,Kaskazini Unguja
Kaskazini 'A',cereals _vop,1713154.125,Kaskazini Unguja
Kaskazini 'A',groundnut _vop,15517.599609375,Kaskazini Unguja
Kaskazini 'A',pulses _vop,139008.49609375,Kaskazini Unguja
Kaskazini 'A',rice _vop,1460027.5625,Kaskazini Unguja
Kaskazini 'A',sorghum _vop,37437.099609375,Kaskazini Unguja
Kaskazini 'A',total _vop,10061193.75,Kaskazini Unguja
Kaskazini 'A',wheat _vop,0,Kaskazini Unguja
Kaskazini 'B',banana_and_plantain _vop,0,Kaskazini Unguja
Kaskazini 'B',bean _vop,25317.80078125,Kaskazini Unguja
Kaskazini 'B',cassava _vop,1231294.25,Kaskazini Unguja
Kaskazini 'B',cereals _vop,1435174.5,Kaskazini Unguja
Kaskazini 'B',groundnut _vop,9337.5,Kaskazini Unguja
Kaskazini 'B',pulses _vop,138203.90625,Kaskazini Unguja
Kaskazini 'B',rice _vop,1183315.125,Kaskazini Unguja
Kaskazini 'B',sorghum _vop,32392.19921875,Kaskazini Unguja
Kaskazini 'B',total _vop,8822518,Kaskazini Unguja
Kaskazini 'B',wheat _vop,0,Kaskazini Unguja
Kasulu,banana_and_plantain _vop,37851893.9488983,Kigoma
Kasulu,bean _vop,17184068.1989746,Kigoma
Kasulu,cassava _vop,482554.296875,Kigoma
Kasulu,cereals _vop,13499987.9718018,Kigoma
Kasulu,groundnut _vop,101224.90234375,Kigoma
Kasulu,pulses _vop,17184687.4765625,Kigoma
Kasulu,rice _vop,363236.102539063,Kigoma
Kasulu,sorghum _vop,7406.2001953125,Kigoma
Kasulu,total _vop,86282247.8691406,Kigoma
Kasulu,wheat _vop,0,Kigoma
Kasulu Town,banana_and_plantain _vop,1994322.11181641,Kigoma
Kasulu Town,bean _vop,4505202.78125,Kigoma
Kasulu Town,cassava _vop,0,Kigoma
Kasulu Town,cereals _vop,3696058.765625,Kigoma
Kasulu Town,groundnut _vop,0,Kigoma
Kasulu Town,pulses _vop,4460596.65625,Kigoma
Kasulu Town,rice _vop,0,Kigoma
Kasulu Town,sorghum _vop,0,Kigoma
Kasulu Town,total _vop,11242553.515625,Kigoma
Kasulu Town,wheat _vop,0,Kigoma
Kati,banana_and_plantain _vop,0,Kusini Unguja
Kati,bean _vop,9441.40007019043,Kusini Unguja
Kati,cassava _vop,3982725.8359375,Kusini Unguja
Kati,cereals _vop,2993391.78204346,Kusini Unguja
Kati,groundnut _vop,38613.2001953125,Kusini Unguja
Kati,pulses _vop,121937.300170898,Kusini Unguja
Kati,rice _vop,2665496.58203125,Kusini Unguja
Kati,sorghum _vop,17114.3995895386,Kusini Unguja
Kati,total _vop,34261517.3623047,Kusini Unguja
Kati,wheat _vop,0,Kusini Unguja
Kibaha,banana_and_plantain _vop,3323.30004882813,Pwani
Kibaha,bean _vop,240.600006103516,Pwani
Kibaha,cassava _vop,645470.525390625,Pwani
